Дата публикации,Название продукта,Цена (BYN),Местоположение,URL продукта
"10 июн., 14:09",Игровой руль,80.0,"Другие города, Витебская обл.",https://www.kufar.by/item/1072589365?block_name=main&page=1&rank=28&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=28
"Сегодня, 10:46",Игровой руль Manta MM626 Compressor Supreme 3,80.0,Витебск,https://www.kufar.by/item/1072570587?block_name=main&page=1&rank=10&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=10
"17 мая, 21:41",Игровой руль Defender,80.0,"Минск, Заводской",https://www.kufar.by/item/1069317096?block_name=main&page=5&rank=194&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=202
"22 мая, 11:04",Руль игровой,80.0,"Новополоцк, Витебская обл.",https://www.kufar.by/item/1069852402?block_name=main&page=5&rank=175&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=183
"8 мая, 15:07",Продам руль игровой,80.0,"Солигорск, Минская обл.",https://www.kufar.by/item/1068169445?block_name=main&page=6&rank=244&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=252
"12 мая, 22:20",игровой руль для пк,85.0,"Дубровно, Витебская обл.",https://www.kufar.by/item/1068723666?block_name=main&page=6&rank=222&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=230
"10 мая, 16:25",Игровой руль,85.0,Брест,https://www.kufar.by/item/1068436956?block_name=main&page=6&rank=230&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=238
"1 июн., 22:40",Игровой руль,90.0,"Минск, Московский",https://www.kufar.by/item/1034080302?block_name=main&page=3&rank=101&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=109
"11 мая, 18:59",Игровой руль Defender,90.0,"Минск, Октябрьский",https://www.kufar.by/item/1068577433?block_name=main&page=6&rank=225&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=233
"31 мая, 14:37",Игровой руль defender adrenaline mini,90.0,"Минск, Октябрьский",https://www.kufar.by/item/1071014663?block_name=main&page=3&rank=115&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=123
"10 июн., 11:50",Руль игровой SVEN Drift,100.0,"Барановичи, Брестская обл.",https://www.kufar.by/item/1072577361?block_name=main&page=1&rank=30&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=30
"Сегодня, 16:54",Руль игровой Defender Challenge Mini LE,100.0,Гомель,https://www.kufar.by/item/1072847805?block_name=main&page=1&rank=6&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=6
"8 июн., 19:28",Игровой руль,100.0,"Рогачев, Гомельская обл.",https://www.kufar.by/item/1072388238?block_name=main&page=2&rank=49&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=57
"7 июн., 11:18",Игровой руль Defender,100.0,"Климовичи, Могилевская обл.",https://www.kufar.by/item/1072145396?block_name=main&page=2&rank=64&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=72
"29 мая, 16:11",Игровой руль пс4/5 пк срочно Thrustmaster T80,100.0,"Минский район, Минская обл.",https://www.kufar.by/item/1070785741?block_name=main&page=4&rank=131&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=139
"3 июн., 14:11",Игровой руль,100.0,"Рогачев, Гомельская обл.",https://www.kufar.by/item/1071433919?block_name=main&page=3&rank=91&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=99
"3 июн., 10:14",Игровой руль trustmaster,100.0,"Минск, Ленинский",https://www.kufar.by/item/1071400670?block_name=main&page=3&rank=92&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=100
"25 мая, 21:06",Руль игровой,100.0,"Мозырь, Гомельская обл.",https://www.kufar.by/item/1070290671?block_name=main&page=4&rank=159&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=167
"9 мая, 13:22",Руль игровой Defender,100.0,"Минск, Советский",https://www.kufar.by/item/1068285503?block_name=main&page=6&rank=238&searchId=fdfefae1-ca5a-4063-891e-06ae2a2ef920&total_rank=246
